Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 28 november 2018,Champions League,PSV Eindhoven,PSV Eindhoven,FC Barcelona,61,0,1,Field goal,Left foot,Won
 3 october 2018,Champions League,Tottenham Hotspur F.C.,Tottenham Hotspur F.C.,FC Barcelona,90,2,4,Field goal,Left foot,Won
 3 october 2018,Champions League,Tottenham Hotspur F.C.,Tottenham Hotspur F.C.,FC Barcelona,56,1,3,Field goal,Left foot,Won
 21 april 2018,,Sevilla,Sevilla,FC Barcelona,31,0,2,Field goal,Left foot,Won
 20 february 2018,Champions League,Chelsea,Chelsea,FC Barcelona,75,1,1,Field goal,Left foot,Draw
 1 february 2017,,Atletico Madrid,Atletico Madrid,FC Barcelona,33,0,2,Field goal,Left foot,Won
 5 january 2017,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,52,2,1,Free kick,Left foot,Lost
 23 november 2016,Champions League,Celtic,Celtic,FC Barcelona,55,0,2,Penalty,Left foot,Won
 23 november 2016,Champions League,Celtic,Celtic,FC Barcelona,24,0,1,Field goal,Left foot,Won
 1 november 2016,Champions League,Manchester City,Manchester City,FC Barcelona,21,0,1,Field goal,Left foot,Lost
 23 february 2016,Champions League,Arsenal,Arsenal,FC Barcelona,83,0,2,Penalty,Left foot,Won
 23 february 2016,Champions League,Arsenal,Arsenal,FC Barcelona,71,0,1,Field goal,Left foot,Won
 20 december 2015,,CA River Plate,CA River Plate,FC Barcelona,36,0,1,Field goal,Left foot,Won
 9 december 2015,Champions League,Bayer Leverkusen,Bayer Leverkusen,FC Barcelona,20,0,1,Field goal,Right foot,Draw
 30 may 2015,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,74,0,3,,Left foot,Won
 30 may 2015,,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,20,0,1,Solo run,Left foot,Won
 25 november 2014,Champions League,APOEL FC,APOEL FC,FC Barcelona,87,0,4,,Right foot,Won
 25 november 2014,Champions League,APOEL FC,APOEL FC,FC Barcelona,58,0,3,,Right foot,Won
 25 november 2014,Champions League,APOEL FC,APOEL FC,FC Barcelona,38,0,2,,Right foot,Won
 5 november 2014,Champions League,Ajax,Ajax,FC Barcelona,76,0,2,,Left foot,Won
 5 november 2014,Champions League,Ajax,Ajax,FC Barcelona,36,0,1,,Head,Won
 30 september 2014,Champions League,Paris Saint-Germayn,Paris Saint-Germayn,FC Barcelona,11,1,1,,Left foot,Lost
 18 february 2014,Champions League,Manchester City,Manchester City,FC Barcelona,54,0,1,Penalty,Left foot,Won
 12 february 2014,,Real Sociedad,Real Sociedad,FC Barcelona,27,0,1,Solo run,Left foot,Draw
 16 january 2014,,Getafe,Getafe,FC Barcelona,63,0,2,Field goal,Left foot,Won
 16 january 2014,,Getafe,Getafe,FC Barcelona,44,0,1,Field goal,Hip,Won
 22 october 2013,Champions League,AC Milan,AC Milan,FC Barcelona,23,1,1,,Left foot,Draw
